	index	labels	modules
1	9	CER6_p	CER
2	108	CER7ab	CER
3	121	R_CERCR2_p	CER
4	14	CER9_v	CER
5	97	CER6_a	CER
6	54	L_CERCR2_a	CER
7	11	CER9_d	CER
8	65	CER9_m	CER
9	18	CER7b_m	CER
10	90	L_CERCR2_p	CER
11	46	CER7b_l	CER
12	41	N	CER
13	84	CERCR1	CER
14	44	CER6_d	CER
15	48	CER5	CER
16	62	R_CERCR2_a	CER
17	96	POsul_d	DMnet
18	72	POsul_v	DMnet
19	35	VMPFcor_p	DMnet
20	32	R_MTgyr_a	DMnet
21	33	L_ANGgyr	DMnet
22	82	L_MTgyr_p	DMnet
23	89	L_MTgyr_a	DMnet
24	87	DMPFC_ar	DMnet
25	53	L_SFsul_a	DMnet
26	55	DMPFcor_ac	DMnet
27	24	PCcor	DMnet
28	103	POsul	DMnet
29	4	L_IPlob	DMnet
30	115	PGACcor	DMnet
31	66	VMPFcor_a	DMnet
32	64	PRC_d	DMnet
33	63	SFgyr_ad	DMnet
34	114	L_IPlob	DMnet
35	15	R_ANGgyr	DMnet
36	17	PRC_v	DMnet
37	106	R_MTgyr_p	DMnet
38	47	PRC_d	DMnet
39	58	R_MFgyr_a	FPnet_VISDN
40	50	L_DVIS_v	FPnet_VISDN
41	76	SPlob	FPnet_VISDN
42	77	R_VLPFcor	FPnet_VISDN
43	49	FUSgyr_vl	FPnet_VISDN
44	59	R_IFsul	FPnet_VISDN
45	75	FP	FPnet_VISDN
46	69	R_DVIS_v	FPnet_VISDN
47	80	L_FP_l	FPnet_VISDN
48	1	SPlob	FPnet_VISDN
49	22	L_MFgyr_pc	FPnet_VISDN
50	120	L_VLPFcor	FPnet_VISDN
51	117	OCCTgyr_l	FPnet_VISDN
52	6	ACcor_d	FPnet_VISDN
53	7	L_MFgyr_pr	FPnet_VISDN
54	111	R_MFgyr_p	FPnet_VISDN
55	20	R_IPsul	FPnet_VISDN
56	105	L_IFsul	FPnet_VISDN
57	83	DVIS_s	FPnet_VISDN
58	104	FUSgyr_dl	FPnet_VISDN
59	91	R_SFsul	FPnet_VISDN
60	98	R_IPlob	FPnet_VISDN
61	94	R_FP_l	FPnet_VISDN
62	92	R_PORB	FPnet_VISDN
63	34	DMPFcor_p	FPnet_VISDN
64	74	L_IPsul	FPnet_VISDN
65	38	L_MFgyr_a	FPnet_VISDN
66	100	DVIS_vl	FPnet_VISDN
67	78	CAUDNH_NACC	LIMnet
68	79	COLsul	LIMnet
69	109	LORBgyr	LIMnet
70	112	ITgyr	LIMnet
71	86	STgyr_a	LIMnet
72	61	MORBgyr	LIMnet
73	21	PINS_v	LIMnet
74	70	TP	LIMnet
75	42	HIPP	LIMnet
76	71	AMY	LIMnet
77	30	PIsul	LIMnet
78	3	CERVM	LIMnet
79	8	L_MOTnet_dl	MOTnet
80	5	MOTnet_am	MOTnet
81	73	R_MOTnet_dl	MOTnet
82	67	MOTnet_m	MOTnet
83	68	MOTnet_ml	MOTnet
84	110	MOTnet_vl	MOTnet
85	93	MOTnet_l	MOTnet
86	102	l_PCsul	VATTnet_SALnet_BG_THAL
87	26	CNGsul_p	VATTnet_SALnet_BG_THAL
88	25	PUT_p	VATTnet_SALnet_BG_THAL
89	23	AINS_pd	VATTnet_SALnet_BG_THAL
90	10	CAUDN_d	VATTnet_SALnet_BG_THAL
91	12	AINS_v	VATTnet_SALnet_BG_THAL
92	113	FEF	VATTnet_SALnet_BG_THAL
93	116	PCsul_d	VATTnet_SALnet_BG_THAL
94	118	IMsul	VATTnet_SALnet_BG_THAL
95	119	STgyr_p	VATTnet_SALnet_BG_THAL
96	2	CAUDN_v	VATTnet_SALnet_BG_THAL
97	13	PUT_a	VATTnet_SALnet_BG_THAL
98	99	HSgyr	VATTnet_SALnet_BG_THAL
99	28	PSMcor_p	VATTnet_SALnet_BG_THAL
100	122	PSMcor_a	VATTnet_SALnet_BG_THAL
101	95	SMgyr	VATTnet_SALnet_BG_THAL
102	31	THAL_d	VATTnet_SALnet_BG_THAL
103	36	THAL_v	VATTnet_SALnet_BG_THAL
104	37	R_PCsul	VATTnet_SALnet_BG_THAL
105	52	PINS_d	VATTnet_SALnet_BG_THAL
106	88	STgyr_m	VATTnet_SALnet_BG_THAL
107	27	PCcor	VATTnet_SALnet_BG_THAL
108	85	AINS_ad	VATTnet_SALnet_BG_THAL
109	45	CAUDN	VATTnet_SALnet_BG_THAL
110	60	PVISnet_l	VISnet
111	57	MDVISnet_p	VISnet
112	56	MDVISnet_a	VISnet
113	81	LVISnet_vp	VISnet
114	51	MVISnet_p	VISnet
115	29	MVISnet_av	VISnet
116	39	LVISnet_p	VISnet
117	16	PVISnet_dm	VISnet
118	107	PVISnet_vm	VISnet
119	19	MVISnet_ad	VISnet
120	101	VVISnet_l	VISnet
121	43	LVISnet_DP	VISnet
122	40	VVISnet_m	VISnet
