,idx_A,reg_A,mod_A,idx_B,reg_B,mod_B,multi-center,abs_multi-center,connectivity
0,0,GlobSig,2_MEAN_GM,19,VMPFcor_p,7_DMnet,0.07255516448189439,0.07255516448189439,GlobSig - VMPFcor_p
1,1,CER6_p,1_CER,72,MORBgyr,4_LIMnet,0.004826656283693013,0.004826656283693013,CER6_p - MORBgyr
2,1,CER6_p,1_CER,99,PSMcor_p,3_VATTnet_SALnet_BG_THAL,-0.08208785735815577,0.08208785735815577,CER6_p - PSMcor_p
3,2,CER7ab,1_CER,67,CAUDNH_NACC,4_LIMnet,0.03422359881264054,0.03422359881264054,CER7ab - CAUDNH_NACC
4,3,R_CERCR2_p,1_CER,16,R_CERCR2_a,1_CER,0.022154619248178877,0.022154619248178877,R_CERCR2_p - R_CERCR2_a
5,3,R_CERCR2_p,1_CER,71,STgyr_a,4_LIMnet,-0.05129507101950713,0.05129507101950713,R_CERCR2_p - STgyr_a
6,3,R_CERCR2_p,1_CER,91,AINS_v,3_VATTnet_SALnet_BG_THAL,-0.011105967429804393,0.011105967429804393,R_CERCR2_p - AINS_v
7,3,R_CERCR2_p,1_CER,117,PVISnet_dm,8_VISnet,0.0010504658710203151,0.0010504658710203151,R_CERCR2_p - PVISnet_dm
8,6,L_CERCR2_a,1_CER,20,R_MTgyr_a,7_DMnet,-0.026498213334703414,0.026498213334703414,L_CERCR2_a - R_MTgyr_a
9,7,CER9_d,1_CER,49,L_MFgyr_pc,5_FPnet_VISDN,0.0008489517691417973,0.0008489517691417973,CER9_d - L_MFgyr_pc
10,7,CER9_d,1_CER,80,MOTnet_am,6_MOTnet,-0.014298423861663277,0.014298423861663277,CER9_d - MOTnet_am
11,8,CER9_m,1_CER,112,MDVISnet_a,8_VISnet,0.0054103876003585545,0.0054103876003585545,CER9_m - MDVISnet_a
12,9,CER7b_m,1_CER,67,CAUDNH_NACC,4_LIMnet,-0.007069060660221438,0.007069060660221438,CER7b_m - CAUDNH_NACC
13,9,CER7b_m,1_CER,77,PIsul,4_LIMnet,-0.019311366223265604,0.019311366223265604,CER7b_m - PIsul
14,9,CER7b_m,1_CER,107,PCcor.1,3_VATTnet_SALnet_BG_THAL,0.08128410500934431,0.08128410500934431,CER7b_m - PCcor.1
15,9,CER7b_m,1_CER,114,MVISnet_p,8_VISnet,0.018704188687056793,0.018704188687056793,CER7b_m - MVISnet_p
16,11,CER7b_l,1_CER,62,R_PORB,5_FPnet_VISDN,-0.02717683271333413,0.02717683271333413,CER7b_l - R_PORB
17,11,CER7b_l,1_CER,63,DMPFcor_p,5_FPnet_VISDN,0.00616976676069177,0.00616976676069177,CER7b_l - DMPFcor_p
18,11,CER7b_l,1_CER,105,PINS_d,3_VATTnet_SALnet_BG_THAL,-0.018201927068640412,0.018201927068640412,CER7b_l - PINS_d
19,13,CERCR1,1_CER,36,PRC_v,7_DMnet,-0.011741108444951515,0.011741108444951515,CERCR1 - PRC_v
20,13,CERCR1,1_CER,107,PCcor.1,3_VATTnet_SALnet_BG_THAL,-0.011509118143317135,0.011509118143317135,CERCR1 - PCcor.1
