,idx_A,reg_A,mod_A,idx_B,reg_B,mod_B,multi-center,abs_multi-center,connectivity
0,0,GlobSig,2_MEAN_GM,19,VMPFcor_p,7_DMnet,0.10491077069302623,0.10491077069302623,GlobSig - VMPFcor_p
1,1,CER6_p,1_CER,99,PSMcor_p,3_VATTnet_SALnet_BG_THAL,-0.08032980472374307,0.08032980472374307,CER6_p - PSMcor_p
2,3,R_CERCR2_p,1_CER,82,MOTnet_m,6_MOTnet,-0.027574949209306428,0.027574949209306428,R_CERCR2_p - MOTnet_m
3,6,L_CERCR2_a,1_CER,56,L_IFsul,5_FPnet_VISDN,-0.03903438613717745,0.03903438613717745,L_CERCR2_a - L_IFsul
4,9,CER7b_m,1_CER,107,PCcor.1,3_VATTnet_SALnet_BG_THAL,0.04066277956119875,0.04066277956119875,CER7b_m - PCcor.1
5,9,CER7b_m,1_CER,114,MVISnet_p,8_VISnet,0.07103519414087785,0.07103519414087785,CER7b_m - MVISnet_p
6,14,CER6_d,1_CER,82,MOTnet_m,6_MOTnet,-0.06447867177849823,0.06447867177849823,CER6_d - MOTnet_m
7,15,CER5,1_CER,45,FP,5_FPnet_VISDN,0.1036397586748887,0.1036397586748887,CER5 - FP
8,16,R_CERCR2_a,1_CER,85,MOTnet_l,6_MOTnet,0.10415525882455126,0.10415525882455126,R_CERCR2_a - MOTnet_l
9,16,R_CERCR2_a,1_CER,114,MVISnet_p,8_VISnet,-0.11422154276551719,0.11422154276551719,R_CERCR2_a - MVISnet_p
10,18,POsul_v,7_DMnet,62,R_PORB,5_FPnet_VISDN,0.06145849493077454,0.06145849493077454,POsul_v - R_PORB
11,21,L_ANGgyr,7_DMnet,113,LVISnet_vp,8_VISnet,-0.0638874666198773,0.0638874666198773,L_ANGgyr - LVISnet_vp
12,24,DMPFC_ar,7_DMnet,37,R_MTgyr_p,7_DMnet,-0.0668857768595631,0.0668857768595631,DMPFC_ar - R_MTgyr_p
13,26,DMPFcor_ac,7_DMnet,90,CAUDN_d,3_VATTnet_SALnet_BG_THAL,0.12965810728404856,0.12965810728404856,DMPFcor_ac - CAUDN_d
14,26,DMPFcor_ac,7_DMnet,117,PVISnet_dm,8_VISnet,-0.049493092639919085,0.049493092639919085,DMPFcor_ac - PVISnet_dm
15,27,PCcor,7_DMnet,28,POsul,7_DMnet,0.022800648328867114,0.022800648328867114,PCcor - POsul
16,29,L_IPlob,7_DMnet,119,MVISnet_ad,8_VISnet,0.004811038983721545,0.004811038983721545,L_IPlob - MVISnet_ad
17,30,PGACcor,7_DMnet,70,ITgyr,4_LIMnet,-0.0021009221752108743,0.0021009221752108743,PGACcor - ITgyr
18,31,VMPFcor_a,7_DMnet,51,OCCTgyr_l,5_FPnet_VISDN,0.029285583767217193,0.029285583767217193,VMPFcor_a - OCCTgyr_l
19,38,PRC_d.1,7_DMnet,80,MOTnet_am,6_MOTnet,-0.025898035722900975,0.025898035722900975,PRC_d.1 - MOTnet_am
20,39,R_MFgyr_a,5_FPnet_VISDN,88,PUT_p,3_VATTnet_SALnet_BG_THAL,-0.06141874960965571,0.06141874960965571,R_MFgyr_a - PUT_p
21,41,SPlob,5_FPnet_VISDN,57,DVIS_s,5_FPnet_VISDN,0.06523970444259256,0.06523970444259256,SPlob - DVIS_s
22,50,L_VLPFcor,5_FPnet_VISDN,101,SMgyr,3_VATTnet_SALnet_BG_THAL,-0.11684105107561712,0.11684105107561712,L_VLPFcor - SMgyr
23,58,FUSgyr_dl,5_FPnet_VISDN,76,AMY,4_LIMnet,-0.10456951441320599,0.10456951441320599,FUSgyr_dl - AMY
24,63,DMPFcor_p,5_FPnet_VISDN,88,PUT_p,3_VATTnet_SALnet_BG_THAL,0.009799588169352709,0.009799588169352709,DMPFcor_p - PUT_p
25,68,COLsul,4_LIMnet,81,R_MOTnet_dl,6_MOTnet,-0.0016399485109312546,0.0016399485109312546,COLsul - R_MOTnet_dl
26,69,LORBgyr,4_LIMnet,122,VVISnet_m,8_VISnet,0.01217793554348662,0.01217793554348662,LORBgyr - VVISnet_m
27,72,MORBgyr,4_LIMnet,109,CAUDN,3_VATTnet_SALnet_BG_THAL,0.03699707643851833,0.03699707643851833,MORBgyr - CAUDN
28,82,MOTnet_m,6_MOTnet,116,LVISnet_p,8_VISnet,0.18412428479163875,0.18412428479163875,MOTnet_m - LVISnet_p
29,88,PUT_p,3_VATTnet_SALnet_BG_THAL,95,STgyr_p,3_VATTnet_SALnet_BG_THAL,0.047595844793846036,0.047595844793846036,PUT_p - STgyr_p
30,92,FEF,3_VATTnet_SALnet_BG_THAL,94,IMsul,3_VATTnet_SALnet_BG_THAL,0.09518340841399009,0.09518340841399009,FEF - IMsul
