,reg_A,reg_B,mod_A,mod_B,weight
2_MEAN_GM7_DMnet_pos,2_MEAN_GM_pos,7_DMnet_pos,2_MEAN_GM,7_DMnet,0.07255516448189439
1_CER4_LIMnet_pos,1_CER_pos,4_LIMnet_pos,1_CER,4_LIMnet,0.03905025509633355
1_CER3_VATTnet_SALnet_BG_THAL_neg,1_CER_neg,3_VATTnet_SALnet_BG_THAL_neg,1_CER,3_VATTnet_SALnet_BG_THAL,-0.12290486999991772
1_CER1_CER_pos,1_CER_pos,1_CER_pos,1_CER,1_CER,0.022154619248178877
1_CER4_LIMnet_neg,1_CER_neg,4_LIMnet_neg,1_CER,4_LIMnet,-0.07767549790299416
1_CER8_VISnet_pos,1_CER_pos,8_VISnet_pos,1_CER,8_VISnet,0.025165042158435662
1_CER7_DMnet_neg,1_CER_neg,7_DMnet_neg,1_CER,7_DMnet,-0.045656803193023704
1_CER5_FPnet_VISDN_pos,1_CER_pos,5_FPnet_VISDN_pos,1_CER,5_FPnet_VISDN,0.02427199499764969
1_CER6_MOTnet_neg,1_CER_neg,6_MOTnet_neg,1_CER,6_MOTnet,-0.10457629221769073
1_CER3_VATTnet_SALnet_BG_THAL_pos,1_CER_pos,3_VATTnet_SALnet_BG_THAL_pos,1_CER,3_VATTnet_SALnet_BG_THAL,0.08128410500934431
1_CER5_FPnet_VISDN_neg,1_CER_neg,5_FPnet_VISDN_neg,1_CER,5_FPnet_VISDN,-0.07355152957030224
1_CER6_MOTnet_pos,1_CER_pos,6_MOTnet_pos,1_CER,6_MOTnet,0.0823940682460584
7_DMnet5_FPnet_VISDN_pos,7_DMnet_pos,5_FPnet_VISDN_pos,7_DMnet,5_FPnet_VISDN,0.16639493014004797
7_DMnet7_DMnet_pos,7_DMnet_pos,7_DMnet_pos,7_DMnet,7_DMnet,0.015106770904475203
7_DMnet7_DMnet_neg,7_DMnet_neg,7_DMnet_neg,7_DMnet,7_DMnet,-0.17964858365714825
7_DMnet3_VATTnet_SALnet_BG_THAL_pos,7_DMnet_pos,3_VATTnet_SALnet_BG_THAL_pos,7_DMnet,3_VATTnet_SALnet_BG_THAL,0.24781704505278004
7_DMnet5_FPnet_VISDN_neg,7_DMnet_neg,5_FPnet_VISDN_neg,7_DMnet,5_FPnet_VISDN,-0.09359080441661585
7_DMnet8_VISnet_neg,7_DMnet_neg,8_VISnet_neg,7_DMnet,8_VISnet,-0.11390870382588206
7_DMnet8_VISnet_pos,7_DMnet_pos,8_VISnet_pos,7_DMnet,8_VISnet,0.020932374705693486
7_DMnet3_VATTnet_SALnet_BG_THAL_neg,7_DMnet_neg,3_VATTnet_SALnet_BG_THAL_neg,7_DMnet,3_VATTnet_SALnet_BG_THAL,-0.005380637929049953
7_DMnet4_LIMnet_neg,7_DMnet_neg,4_LIMnet_neg,7_DMnet,4_LIMnet,-0.040726969196981516
7_DMnet6_MOTnet_neg,7_DMnet_neg,6_MOTnet_neg,7_DMnet,6_MOTnet,-0.01339127418641831
5_FPnet_VISDN3_VATTnet_SALnet_BG_THAL_neg,5_FPnet_VISDN_neg,3_VATTnet_SALnet_BG_THAL_neg,5_FPnet_VISDN,3_VATTnet_SALnet_BG_THAL,-0.23568578349399133
5_FPnet_VISDN8_VISnet_neg,5_FPnet_VISDN_neg,8_VISnet_neg,5_FPnet_VISDN,8_VISnet,-0.04973065191987681
5_FPnet_VISDN5_FPnet_VISDN_pos,5_FPnet_VISDN_pos,5_FPnet_VISDN_pos,5_FPnet_VISDN,5_FPnet_VISDN,0.007000179876526216
5_FPnet_VISDN3_VATTnet_SALnet_BG_THAL_pos,5_FPnet_VISDN_pos,3_VATTnet_SALnet_BG_THAL_pos,5_FPnet_VISDN,3_VATTnet_SALnet_BG_THAL,0.06687592056378988
5_FPnet_VISDN5_FPnet_VISDN_neg,5_FPnet_VISDN_neg,5_FPnet_VISDN_neg,5_FPnet_VISDN,5_FPnet_VISDN,-0.004344022948815547
5_FPnet_VISDN4_LIMnet_pos,5_FPnet_VISDN_pos,4_LIMnet_pos,5_FPnet_VISDN,4_LIMnet,0.2603874815524107
5_FPnet_VISDN4_LIMnet_neg,5_FPnet_VISDN_neg,4_LIMnet_neg,5_FPnet_VISDN,4_LIMnet,-0.08595482564424244
5_FPnet_VISDN6_MOTnet_neg,5_FPnet_VISDN_neg,6_MOTnet_neg,5_FPnet_VISDN,6_MOTnet,-0.018109012693673324
4_LIMnet6_MOTnet_pos,4_LIMnet_pos,6_MOTnet_pos,4_LIMnet,6_MOTnet,0.08033283524050396
4_LIMnet6_MOTnet_neg,4_LIMnet_neg,6_MOTnet_neg,4_LIMnet,6_MOTnet,-0.043420202932238236
4_LIMnet3_VATTnet_SALnet_BG_THAL_pos,4_LIMnet_pos,3_VATTnet_SALnet_BG_THAL_pos,4_LIMnet,3_VATTnet_SALnet_BG_THAL,0.00012264297628777047
4_LIMnet8_VISnet_pos,4_LIMnet_pos,8_VISnet_pos,4_LIMnet,8_VISnet,0.010707880080198849
4_LIMnet3_VATTnet_SALnet_BG_THAL_neg,4_LIMnet_neg,3_VATTnet_SALnet_BG_THAL_neg,4_LIMnet,3_VATTnet_SALnet_BG_THAL,-0.020964902815326758
4_LIMnet8_VISnet_neg,4_LIMnet_neg,8_VISnet_neg,4_LIMnet,8_VISnet,-0.02794042313057689
6_MOTnet3_VATTnet_SALnet_BG_THAL_pos,6_MOTnet_pos,3_VATTnet_SALnet_BG_THAL_pos,6_MOTnet,3_VATTnet_SALnet_BG_THAL,0.0029326035942324295
6_MOTnet6_MOTnet_pos,6_MOTnet_pos,6_MOTnet_pos,6_MOTnet,6_MOTnet,0.016696517782872077
6_MOTnet8_VISnet_neg,6_MOTnet_neg,8_VISnet_neg,6_MOTnet,8_VISnet,-0.006288436010796952
6_MOTnet8_VISnet_pos,6_MOTnet_pos,8_VISnet_pos,6_MOTnet,8_VISnet,0.07172726517861497
3_VATTnet_SALnet_BG_THAL3_VATTnet_SALnet_BG_THAL_pos,3_VATTnet_SALnet_BG_THAL_pos,3_VATTnet_SALnet_BG_THAL_pos,3_VATTnet_SALnet_BG_THAL,3_VATTnet_SALnet_BG_THAL,0.14680343510967817
3_VATTnet_SALnet_BG_THAL3_VATTnet_SALnet_BG_THAL_neg,3_VATTnet_SALnet_BG_THAL_neg,3_VATTnet_SALnet_BG_THAL_neg,3_VATTnet_SALnet_BG_THAL,3_VATTnet_SALnet_BG_THAL,-0.009415932886007033
3_VATTnet_SALnet_BG_THAL8_VISnet_neg,3_VATTnet_SALnet_BG_THAL_neg,8_VISnet_neg,3_VATTnet_SALnet_BG_THAL,8_VISnet,-0.08844090132106368
3_VATTnet_SALnet_BG_THAL8_VISnet_pos,3_VATTnet_SALnet_BG_THAL_pos,8_VISnet_pos,3_VATTnet_SALnet_BG_THAL,8_VISnet,0.03278422769255383
