,reg_A,reg_B,mod_A,mod_B,weight
2_MEAN_GM7_DMnet_pos,2_MEAN_GM_pos,7_DMnet_pos,2_MEAN_GM,7_DMnet,0.10491077069302623
1_CER3_VATTnet_SALnet_BG_THAL_neg,1_CER_neg,3_VATTnet_SALnet_BG_THAL_neg,1_CER,3_VATTnet_SALnet_BG_THAL,-0.08032980472374307
1_CER6_MOTnet_neg,1_CER_neg,6_MOTnet_neg,1_CER,6_MOTnet,-0.09205362098780465
1_CER5_FPnet_VISDN_neg,1_CER_neg,5_FPnet_VISDN_neg,1_CER,5_FPnet_VISDN,-0.03903438613717745
1_CER3_VATTnet_SALnet_BG_THAL_pos,1_CER_pos,3_VATTnet_SALnet_BG_THAL_pos,1_CER,3_VATTnet_SALnet_BG_THAL,0.04066277956119875
1_CER8_VISnet_pos,1_CER_pos,8_VISnet_pos,1_CER,8_VISnet,0.07103519414087785
1_CER5_FPnet_VISDN_pos,1_CER_pos,5_FPnet_VISDN_pos,1_CER,5_FPnet_VISDN,0.1036397586748887
1_CER6_MOTnet_pos,1_CER_pos,6_MOTnet_pos,1_CER,6_MOTnet,0.10415525882455126
1_CER8_VISnet_neg,1_CER_neg,8_VISnet_neg,1_CER,8_VISnet,-0.11422154276551719
7_DMnet5_FPnet_VISDN_pos,7_DMnet_pos,5_FPnet_VISDN_pos,7_DMnet,5_FPnet_VISDN,0.09074407869799174
7_DMnet8_VISnet_neg,7_DMnet_neg,8_VISnet_neg,7_DMnet,8_VISnet,-0.1133805592597964
7_DMnet7_DMnet_neg,7_DMnet_neg,7_DMnet_neg,7_DMnet,7_DMnet,-0.0668857768595631
7_DMnet3_VATTnet_SALnet_BG_THAL_pos,7_DMnet_pos,3_VATTnet_SALnet_BG_THAL_pos,7_DMnet,3_VATTnet_SALnet_BG_THAL,0.12965810728404856
7_DMnet7_DMnet_pos,7_DMnet_pos,7_DMnet_pos,7_DMnet,7_DMnet,0.022800648328867114
7_DMnet8_VISnet_pos,7_DMnet_pos,8_VISnet_pos,7_DMnet,8_VISnet,0.004811038983721545
7_DMnet4_LIMnet_neg,7_DMnet_neg,4_LIMnet_neg,7_DMnet,4_LIMnet,-0.0021009221752108743
7_DMnet6_MOTnet_neg,7_DMnet_neg,6_MOTnet_neg,7_DMnet,6_MOTnet,-0.025898035722900975
5_FPnet_VISDN3_VATTnet_SALnet_BG_THAL_neg,5_FPnet_VISDN_neg,3_VATTnet_SALnet_BG_THAL_neg,5_FPnet_VISDN,3_VATTnet_SALnet_BG_THAL,-0.17825980068527283
5_FPnet_VISDN5_FPnet_VISDN_pos,5_FPnet_VISDN_pos,5_FPnet_VISDN_pos,5_FPnet_VISDN,5_FPnet_VISDN,0.06523970444259256
5_FPnet_VISDN4_LIMnet_neg,5_FPnet_VISDN_neg,4_LIMnet_neg,5_FPnet_VISDN,4_LIMnet,-0.10456951441320599
5_FPnet_VISDN3_VATTnet_SALnet_BG_THAL_pos,5_FPnet_VISDN_pos,3_VATTnet_SALnet_BG_THAL_pos,5_FPnet_VISDN,3_VATTnet_SALnet_BG_THAL,0.009799588169352709
4_LIMnet6_MOTnet_neg,4_LIMnet_neg,6_MOTnet_neg,4_LIMnet,6_MOTnet,-0.0016399485109312546
4_LIMnet8_VISnet_pos,4_LIMnet_pos,8_VISnet_pos,4_LIMnet,8_VISnet,0.01217793554348662
4_LIMnet3_VATTnet_SALnet_BG_THAL_pos,4_LIMnet_pos,3_VATTnet_SALnet_BG_THAL_pos,4_LIMnet,3_VATTnet_SALnet_BG_THAL,0.03699707643851833
6_MOTnet8_VISnet_pos,6_MOTnet_pos,8_VISnet_pos,6_MOTnet,8_VISnet,0.18412428479163875
3_VATTnet_SALnet_BG_THAL3_VATTnet_SALnet_BG_THAL_pos,3_VATTnet_SALnet_BG_THAL_pos,3_VATTnet_SALnet_BG_THAL_pos,3_VATTnet_SALnet_BG_THAL,3_VATTnet_SALnet_BG_THAL,0.14277925320783613
