,reg_A,reg_B,mod_A,mod_B,weight
3_VATTnet_SALnet_BG_THAL3_VATTnet_SALnet_BG_THAL_pos,3_VATTnet_SALnet_BG_THAL_pos,3_VATTnet_SALnet_BG_THAL_pos,3_VATTnet_SALnet_BG_THAL,3_VATTnet_SALnet_BG_THAL,0.2702318007498354
1_CER5_FPnet_VISDN_pos,1_CER_pos,5_FPnet_VISDN_pos,1_CER,5_FPnet_VISDN,0.2452738896065513
1_CER3_VATTnet_SALnet_BG_THAL_neg,1_CER_neg,3_VATTnet_SALnet_BG_THAL_neg,1_CER,3_VATTnet_SALnet_BG_THAL,-0.2178471793693757
1_CER6_MOTnet_pos,1_CER_pos,6_MOTnet_pos,1_CER,6_MOTnet,0.149633648663748
6_MOTnet8_VISnet_neg,6_MOTnet_neg,8_VISnet_neg,6_MOTnet,8_VISnet,-0.1024677620051079
8_VISnet8_VISnet_pos,8_VISnet_pos,8_VISnet_pos,8_VISnet,8_VISnet,0.0949107860114584
2_MEAN_GM7_DMnet_neg,2_MEAN_GM_neg,7_DMnet_neg,2_MEAN_GM,7_DMnet,-0.0864229664658185
3_VATTnet_SALnet_BG_THAL8_VISnet_pos,3_VATTnet_SALnet_BG_THAL_pos,8_VISnet_pos,3_VATTnet_SALnet_BG_THAL,8_VISnet,0.1427712571427993
4_LIMnet8_VISnet_neg,4_LIMnet_neg,8_VISnet_neg,4_LIMnet,8_VISnet,-0.0725709685933734
4_LIMnet6_MOTnet_neg,4_LIMnet_neg,6_MOTnet_neg,4_LIMnet,6_MOTnet,-0.0624905198406766
1_CER8_VISnet_neg,1_CER_neg,8_VISnet_neg,1_CER,8_VISnet,-0.0589489976951261
1_CER5_FPnet_VISDN_neg,1_CER_neg,5_FPnet_VISDN_neg,1_CER,5_FPnet_VISDN,-0.1126702540168079
5_FPnet_VISDN8_VISnet_neg,5_FPnet_VISDN_neg,8_VISnet_neg,5_FPnet_VISDN,8_VISnet,-0.0539133630027504
3_VATTnet_SALnet_BG_THAL8_VISnet_neg,3_VATTnet_SALnet_BG_THAL_neg,8_VISnet_neg,3_VATTnet_SALnet_BG_THAL,8_VISnet,-0.0442368550738373
5_FPnet_VISDN3_VATTnet_SALnet_BG_THAL_pos,5_FPnet_VISDN_pos,3_VATTnet_SALnet_BG_THAL_pos,5_FPnet_VISDN,3_VATTnet_SALnet_BG_THAL,0.0427850094210507
7_DMnet3_VATTnet_SALnet_BG_THAL_pos,7_DMnet_pos,3_VATTnet_SALnet_BG_THAL_pos,7_DMnet,3_VATTnet_SALnet_BG_THAL,0.0087382432491972
7_DMnet4_LIMnet_neg,7_DMnet_neg,4_LIMnet_neg,7_DMnet,4_LIMnet,-0.0030063192930978
3_VATTnet_SALnet_BG_THAL3_VATTnet_SALnet_BG_THAL_neg,3_VATTnet_SALnet_BG_THAL_neg,3_VATTnet_SALnet_BG_THAL_neg,3_VATTnet_SALnet_BG_THAL,3_VATTnet_SALnet_BG_THAL,-0.0012494934794564
