,idx_A,idx_B,mod_A,mod_B,reg_A,reg_B,weight
0,0,34,2_MEAN_GM,7_DMnet,aMEAN_GM,L_IPlob,-0.08896380615436053
1,1,99,1_CER,3_VATTnet_SALnet_BG_THAL,CER6_p,PSMcor_p,-0.21332262410805208
2,7,56,1_CER,5_FPnet_VISDN,CER9_d,L_IFsul,-0.0638070021573375
3,13,93,1_CER,3_VATTnet_SALnet_BG_THAL,CERCR1,PCsul_d,-0.022929517473781167
4,14,51,1_CER,5_FPnet_VISDN,CER6_d,OCCTgyr_l,-0.06240762235962465
5,15,45,1_CER,5_FPnet_VISDN,CER5,FP,0.251218255033686
6,15,121,1_CER,8_VISnet,CER5,LVISnet_DP,-0.05888682929315636
7,16,85,1_CER,6_MOTnet,R_CERCR2_a,MOTnet_l,0.14528556052269972
8,28,69,7_DMnet,4_LIMnet,POsul,LORBgyr,-0.015959900815789258
9,30,106,7_DMnet,3_VATTnet_SALnet_BG_THAL,PGACcor,STgyr_m,0.00907913667176238
10,39,86,5_FPnet_VISDN,3_VATTnet_SALnet_BG_THAL,R_MFgyr_a,l_PCsul,0.05728141161918149
11,55,116,5_FPnet_VISDN,8_VISnet,R_IPsul,LVISnet_p,-0.04791033892129603
12,60,77,5_FPnet_VISDN,4_LIMnet,R_IPlob,PIsul,-0.004863176063564969
13,67,118,4_LIMnet,8_VISnet,CAUDNH_NACC,PVISnet_vm,-0.08861842534008943
14,68,84,4_LIMnet,6_MOTnet,COLsul,MOTnet_vl,-0.054856459713024636
15,82,114,6_MOTnet,8_VISnet,MOTnet_m,MVISnet_p,-0.1040198549966943
16,88,95,3_VATTnet_SALnet_BG_THAL,3_VATTnet_SALnet_BG_THAL,PUT_p,STgyr_p,0.2871311581912478
17,91,119,3_VATTnet_SALnet_BG_THAL,8_VISnet,AINS_v,MVISnet_ad,-0.033027087300371544
18,92,103,3_VATTnet_SALnet_BG_THAL,3_VATTnet_SALnet_BG_THAL,FEF,THAL_v,-0.01959099725481627
19,96,116,3_VATTnet_SALnet_BG_THAL,8_VISnet,CAUDN_v,LVISnet_p,0.0919092098946165
20,103,116,3_VATTnet_SALnet_BG_THAL,8_VISnet,THAL_v,LVISnet_p,0.05762986295410045
21,121,122,8_VISnet,8_VISnet,LVISnet_DP,VVISnet_m,0.08685027813363908
